date,name,approximate
1997-07-20,海の日,False
1997-07-21,休日,False
1997-09-15,敬老の日,False
1997-09-23,秋分の日,True
1997-10-10,体育の日,False
1997-11-03,文化の日,False
1997-11-23,勤労感謝の日,False
1997-11-24,休日,False
1997-12-23,天皇誕生日,False
1997-12-29,年末年始休暇,False
1997-12-30,年末年始休暇,False
1997-12-31,年末年始休暇,False
1998-01-01,元日,False
1998-01-02,年末年始休暇,False
1998-01-03,年末年始休暇,False
1998-01-15,成人の日,False
1998-02-11,建国記念の日,False
1998-03-21,春分の日,True
1998-04-29,みどりの日,False
1998-05-03,憲法記念日,False
1998-05-04,国民の休日,False
1998-05-05,こどもの日,False
1998-07-20,海の日,False
1998-09-15,敬老の日,False
1998-09-23,秋分の日,True
1998-10-10,体育の日,False
1998-11-03,文化の日,False
1998-11-23,勤労感謝の日,False
1998-12-23,天皇誕生日,False
1998-12-29,年末年始休暇,False
1998-12-30,年末年始休暇,False
1998-12-31,年末年始休暇,False
1999-01-01,元日,False
1999-01-02,年末年始休暇,False
1999-01-03,年末年始休暇,False
1999-01-15,成人の日,False
1999-02-11,建国記念の日,False
1999-03-21,春分の日,True
1999-03-22,休日,False
1999-04-29,みどりの日,False
1999-05-03,憲法記念日,False
1999-05-04,国民の休日,False
1999-05-05,こどもの日,False
1999-07-20,海の日,False
1999-09-15,敬老の日,False
1999-09-23,秋分の日,True
1999-10-10,体育の日,False
1999-10-11,休日,False
1999-11-03,文化の日,False
1999-11-23,勤労感謝の日,False
1999-12-23,天皇誕生日,False
1999-12-29,年末年始休暇,False
1999-12-30,年末年始休暇,False
1999-12-31,年末年始休暇,False
2000-01-01,元日,False
2000-01-02,年末年始休暇,False
2000-01-03,年末年始休暇,False
2000-01-10,成人の日,False
2000-02-11,建国記念の日,False
2000-03-20,春分の日,True
